budget,left,right,paired_units,mean_delta_psnr,ci95_low_psnr,ci95_high_psnr,wins_psnr,losses_psnr,ties_psnr,mean_delta_ms_ssim,ci95_low_ms_ssim,ci95_high_ms_ssim,wins_ms_ssim,losses_ms_ssim,ties_ms_ssim
2000,aniso_flanking,aniso_onedge,4,-0.5379250000000004,-0.9797000000000011,-0.09614999999999974,1,3,0,-0.007970000000000033,-0.01535000000000003,-0.0005900000000000349,1,3,0
2000,quadtree_wse,aniso_onedge,4,-0.11187500000000039,-0.2803500000000003,0.07242499999999996,1,3,0,-0.000140000000000029,-0.0018600000000000283,0.00190499999999999,2,2,0
2000,quadtree_hybrid,aniso_onedge,4,-0.4013749999999998,-0.6167249999999997,-0.23740000000000006,0,4,0,-0.00400250000000002,-0.008722499999999994,-0.0006600000000000217,1,3,0
2000,iso_blue_noise,aniso_onedge,4,-0.8820499999999996,-1.4093499999999999,-0.42825000000000024,0,4,0,-0.01117250000000003,-0.021927500000000016,-0.004480000000000012,0,4,0
2000,floyd_steinberg,aniso_onedge,4,-0.39682500000000065,-0.8431500000000014,-0.046350000000000335,1,3,0,-0.005095000000000044,-0.009890000000000038,-0.0012650000000000716,1,3,0
5000,aniso_flanking,aniso_onedge,0,,,,0,0,0,,,,0,0,0
5000,quadtree_wse,aniso_onedge,0,,,,0,0,0,,,,0,0,0
5000,quadtree_hybrid,aniso_onedge,0,,,,0,0,0,,,,0,0,0
5000,iso_blue_noise,aniso_onedge,0,,,,0,0,0,,,,0,0,0
5000,floyd_steinberg,aniso_onedge,0,,,,0,0,0,,,,0,0,0
10000,aniso_flanking,aniso_onedge,0,,,,0,0,0,,,,0,0,0
10000,quadtree_wse,aniso_onedge,0,,,,0,0,0,,,,0,0,0
10000,quadtree_hybrid,aniso_onedge,0,,,,0,0,0,,,,0,0,0
10000,iso_blue_noise,aniso_onedge,0,,,,0,0,0,,,,0,0,0
10000,floyd_steinberg,aniso_onedge,0,,,,0,0,0,,,,0,0,0
