stage,run_group,image,source_path,budget,seed,strategy,max_side,iters,renderer
1,stage1_budget2000,kodim01,results/datasets/abl004/kodak24/kodim01.png,2000,0,aniso_onedge,768,1500,cuda
1,stage1_budget2000,kodim01,results/datasets/abl004/kodak24/kodim01.png,2000,0,aniso_flanking,768,1500,cuda
1,stage1_budget2000,kodim01,results/datasets/abl004/kodak24/kodim01.png,2000,0,quadtree_wse,768,1500,cuda
1,stage1_budget2000,kodim01,results/datasets/abl004/kodak24/kodim01.png,2000,0,quadtree_hybrid,768,1500,cuda
1,stage1_budget2000,kodim01,results/datasets/abl004/kodak24/kodim01.png,2000,0,iso_blue_noise,768,1500,cuda
1,stage1_budget2000,kodim01,results/datasets/abl004/kodak24/kodim01.png,2000,0,floyd_steinberg,768,1500,cuda
1,stage1_budget2000,kodim01,results/datasets/abl004/kodak24/kodim01.png,2000,1,aniso_onedge,768,1500,cuda
1,stage1_budget2000,kodim01,results/datasets/abl004/kodak24/kodim01.png,2000,1,aniso_flanking,768,1500,cuda
1,stage1_budget2000,kodim01,results/datasets/abl004/kodak24/kodim01.png,2000,1,quadtree_wse,768,1500,cuda
1,stage1_budget2000,kodim01,results/datasets/abl004/kodak24/kodim01.png,2000,1,quadtree_hybrid,768,1500,cuda
1,stage1_budget2000,kodim01,results/datasets/abl004/kodak24/kodim01.png,2000,1,iso_blue_noise,768,1500,cuda
1,stage1_budget2000,kodim01,results/datasets/abl004/kodak24/kodim01.png,2000,1,floyd_steinberg,768,1500,cuda
1,stage1_budget2000,kodim02,results/datasets/abl004/kodak24/kodim02.png,2000,0,aniso_onedge,768,1500,cuda
1,stage1_budget2000,kodim02,results/datasets/abl004/kodak24/kodim02.png,2000,0,aniso_flanking,768,1500,cuda
1,stage1_budget2000,kodim02,results/datasets/abl004/kodak24/kodim02.png,2000,0,quadtree_wse,768,1500,cuda
1,stage1_budget2000,kodim02,results/datasets/abl004/kodak24/kodim02.png,2000,0,quadtree_hybrid,768,1500,cuda
1,stage1_budget2000,kodim02,results/datasets/abl004/kodak24/kodim02.png,2000,0,iso_blue_noise,768,1500,cuda
1,stage1_budget2000,kodim02,results/datasets/abl004/kodak24/kodim02.png,2000,0,floyd_steinberg,768,1500,cuda
1,stage1_budget2000,kodim02,results/datasets/abl004/kodak24/kodim02.png,2000,1,aniso_onedge,768,1500,cuda
1,stage1_budget2000,kodim02,results/datasets/abl004/kodak24/kodim02.png,2000,1,aniso_flanking,768,1500,cuda
1,stage1_budget2000,kodim02,results/datasets/abl004/kodak24/kodim02.png,2000,1,quadtree_wse,768,1500,cuda
1,stage1_budget2000,kodim02,results/datasets/abl004/kodak24/kodim02.png,2000,1,quadtree_hybrid,768,1500,cuda
1,stage1_budget2000,kodim02,results/datasets/abl004/kodak24/kodim02.png,2000,1,iso_blue_noise,768,1500,cuda
1,stage1_budget2000,kodim02,results/datasets/abl004/kodak24/kodim02.png,2000,1,floyd_steinberg,768,1500,cuda
1,stage1_budget2000,kodim03,results/datasets/abl004/kodak24/kodim03.png,2000,0,aniso_onedge,768,1500,cuda
1,stage1_budget2000,kodim03,results/datasets/abl004/kodak24/kodim03.png,2000,0,aniso_flanking,768,1500,cuda
1,stage1_budget2000,kodim03,results/datasets/abl004/kodak24/kodim03.png,2000,0,quadtree_wse,768,1500,cuda
1,stage1_budget2000,kodim03,results/datasets/abl004/kodak24/kodim03.png,2000,0,quadtree_hybrid,768,1500,cuda
1,stage1_budget2000,kodim03,results/datasets/abl004/kodak24/kodim03.png,2000,0,iso_blue_noise,768,1500,cuda
1,stage1_budget2000,kodim03,results/datasets/abl004/kodak24/kodim03.png,2000,0,floyd_steinberg,768,1500,cuda
1,stage1_budget2000,kodim03,results/datasets/abl004/kodak24/kodim03.png,2000,1,aniso_onedge,768,1500,cuda
1,stage1_budget2000,kodim03,results/datasets/abl004/kodak24/kodim03.png,2000,1,aniso_flanking,768,1500,cuda
1,stage1_budget2000,kodim03,results/datasets/abl004/kodak24/kodim03.png,2000,1,quadtree_wse,768,1500,cuda
1,stage1_budget2000,kodim03,results/datasets/abl004/kodak24/kodim03.png,2000,1,quadtree_hybrid,768,1500,cuda
1,stage1_budget2000,kodim03,results/datasets/abl004/kodak24/kodim03.png,2000,1,iso_blue_noise,768,1500,cuda
1,stage1_budget2000,kodim03,results/datasets/abl004/kodak24/kodim03.png,2000,1,floyd_steinberg,768,1500,cuda
1,stage1_budget2000,kodim04,results/datasets/abl004/kodak24/kodim04.png,2000,0,aniso_onedge,768,1500,cuda
1,stage1_budget2000,kodim04,results/datasets/abl004/kodak24/kodim04.png,2000,0,aniso_flanking,768,1500,cuda
1,stage1_budget2000,kodim04,results/datasets/abl004/kodak24/kodim04.png,2000,0,quadtree_wse,768,1500,cuda
1,stage1_budget2000,kodim04,results/datasets/abl004/kodak24/kodim04.png,2000,0,quadtree_hybrid,768,1500,cuda
1,stage1_budget2000,kodim04,results/datasets/abl004/kodak24/kodim04.png,2000,0,iso_blue_noise,768,1500,cuda
1,stage1_budget2000,kodim04,results/datasets/abl004/kodak24/kodim04.png,2000,0,floyd_steinberg,768,1500,cuda
1,stage1_budget2000,kodim04,results/datasets/abl004/kodak24/kodim04.png,2000,1,aniso_onedge,768,1500,cuda
1,stage1_budget2000,kodim04,results/datasets/abl004/kodak24/kodim04.png,2000,1,aniso_flanking,768,1500,cuda
1,stage1_budget2000,kodim04,results/datasets/abl004/kodak24/kodim04.png,2000,1,quadtree_wse,768,1500,cuda
1,stage1_budget2000,kodim04,results/datasets/abl004/kodak24/kodim04.png,2000,1,quadtree_hybrid,768,1500,cuda
1,stage1_budget2000,kodim04,results/datasets/abl004/kodak24/kodim04.png,2000,1,iso_blue_noise,768,1500,cuda
1,stage1_budget2000,kodim04,results/datasets/abl004/kodak24/kodim04.png,2000,1,floyd_steinberg,768,1500,cuda
1,stage1_budget2000,kodim05,results/datasets/abl004/kodak24/kodim05.png,2000,0,aniso_onedge,768,1500,cuda
1,stage1_budget2000,kodim05,results/datasets/abl004/kodak24/kodim05.png,2000,0,aniso_flanking,768,1500,cuda
